Language name,Created By,Annual average salary,Learning Difficulty
Python,Guido van Rossum,"$114,383 ",Easy
Java,James Gosling,"$101,013 ",Easy
R,"Robert Gentleman, Ross Ihaka","$92,037 ",Hard
Javascript,Netscape,"$110,981 ",Easy
Swift,Apple,"$130,801 ",Easy
C++,Bjarne Stroustrup,"$113,865 ",Hard
C#,Microsoft,"$88,726 ",Hard
PHP,Rasmus Lerdorf,"$84,727 ",Easy
SQL,"Donald D. Chamberlin, Raymond F. Boyce.","$84,793 ",Easy
Go,"Robert Griesemer, Ken Thompson, Rob Pike.","$94,082 ",Difficult
